"portugues","tupi"
"Ah, meu pai!","xe rubĩ mã!"
"Não dormi absolutamente para procurá-los","n'aker-angáî sekasápe"
"Mas os aracajás deleitam-se com eles","arakaîá-te ombory"
"Teus olhos misericordiosos volta em minha direção","nde resá-poraûsubara erobak ixé koty"
"Nesta noite tomou início","kó pytuna ri sy-ari"
"peneira rala","urupẽ-mokanga"
"Hei de dar ovas de peixe para ti, retribuindo","t'ame'ẽne pirá ruba endébo, ûiîepyme'enga"
"grão de farinha","u'i-esakytã"
"Não é à toa, certamente, que, agora, todos os que te amavam ele liberta de ti","nd'e'i te'e, ipó, ko'y opá nde raûsuparûera pysyrõmo nde suí"
"por ocasião de minha morte, quando me matarem","xe îukasápe"
"Dizendo maldades à toa para alguém, dando-lhe má fama","abá supé marã o'îabo tenhẽ, i moerapûana"
"Eu sou Guaixará bebedor de cauim, grande cascavel, onça, trucidador de gente","gûaîxará kagûara ixé, mboîtiningusu, îagûara, morapitîara"
"Encalhei a canoa","aîmoîar ygara"
"Eu sou um pouco bochechudo","xe retobapé-pyryb"
"Maltratando-o todos os seus súditos","o boîaetá pabẽ serekomemûãmo"
"Ambos tremerão hoje","mokõîbé osyî kori"
"É coisa que falta","mba'e angaba'eamẽ"
"Irritastes o senhor Jesus","pemoŷrõ pa'i îesu"
"Arrancando suas aflições","i poraûsuboka"
"Deixai, pois, estes meus discípulos irem com saúde","t'e'i nhẽ ã xe boîá o marane'yma rerasóbo rõ"
"Querendo nossa preocupação com o futuro estado de nossa alma","îandé 'anga rekorama resé îandé putupaba potá"
"Faze uma igreja que tenha meu nome","xe reryîara tupãoka eîmonhang"
"filho em gestação, feto","memby-kyra"
"Experimentemos a força dos homens conosco","t'isa'ang apŷaba marã îandé irũ"
"Estando nós no amor de Deus, a verdadeira felicidade temos","tupã îoaûsuba pupé îaîkóbo, tekokatu-eté îarekó"
"Qual? Aquele Lourenço tostado?","umã? akó rorẽ-ka'ẽ?"
"forno para potes","kamusi rapŷaba"
"Fiz-lhe dentes","asãîngá"
"Agora tua concepção trouxe grande alegria","ko'y, nde nhemonhangaba ogûeru torybeté"
"O que tem a bem-aventurança é o que é pobre por sua própria vontade","tekokatueté rerekoara o emimotarybo é i mba'ee'ymba'e"
"Com seu filho não se importando","o a'yra resé oputupabe'ymamo"
"Na verdade hei de me enfeitar, pintando-me de preto","aûîeté-pakó aîegûak ûinhemoúna"
"De costume, eu não ando a estas horas","sekoabanhẽ nãnyme xe gûatae'ym"
"o que foi pai","tugûera"
"o que é o único filho dele","ta'yra oîepeba'e"
"Nasceu para nós hoje","- o'a îandébo kori"
"No caso de morrer algum, o que fica não pode casar-se com algum irmão ou irmã de seu cônjuge falecido","amõ re'õneme, opytaba'e nd'e'ikatuî omendá o mendasabambyra asykûera amõ resé"
"Grudei penagens nele","aîgûaîaý-moîar"
"Eu também os meus parentes trazendo, faço-os dançar comigo","xe abé xe anametá aroporaseî seru"
"Atiro-a","asa'ang"
"Oponho-me a ele","asobaîxûar"
"São Sebastião destruiu os tamoios, os valentes","são sebastião tamũîa, kyre'ymbagûera, omombab erimba'e"
"ambas estas mãos, o número dez","opá kó mbó"
"Que me livre das dificuldades","ta xe pysyrõ marãtekó suí"
"De forma inadequada, certamente, está o regente do canto","aroane'ym nakó nhe'engaryba rekóû"
"Acredita a gente nisso?","ogûerobîarype asé eboûinga?"
"Pensai que, nalgum dia, a morte virá para bater em vossas portas","penheangerekó amõ 'ara pupé te'õ pe rokena motaka turagûama resé"
"Foram de novo alguns soldados para quebrar as pernas daqueles dois ladrões, fazendo-os descer consigo","osó bé amõ maranaritekoara a'e mokõî mondá retymã mopena seroîypa"
"Quantos são esses deuses?","mobype a'e tupã?"
"Em eu falando","gûinhe'enga abé"
"Havemos de chegar ao céu, ao lugar em que tu te revelas","t'orobasẽne ybakype nde îepîakukasápe"
"Mentiras levantam","mo'ema kó omopu'ã"
"Tu, ao contrário, obedece a ele!","-esapîá-te!"
"Vi-o em meus sonhos","xe posaûsupe asepîak"
"Os homens reconheceram-no como Deus verdadeiro?","abá tupãetéramo sekokuabi?"
"Por que a gente a põe em seu próprio peito?","marãnamope asé o poti'ape i moíni?"
"Mas não pode a gente, de modo nenhum, contar o procedimento oculto de alguém?","nd'e'ikatu angáî-tepe asé abá rekó-nhemima mombegûabo?"
"O que tem jeito para ele sou eu","iî arõana ixé"
"Faço muito barulho ao andar","xe py-ambugûasu"
"o miolo dele","i apytera"
"o desejo sensual que ele não torna costumeiro","moropotara semipokuabe'yma"
"Aqui estou eu","kobé aîkó"
"castrado","sapi'a'okypyra"
"Como pagamento de suas antigas comilanças, de suas antigas bebedeiras","o karûagûera, o sabeypó-ypoagûera repyramo"
"Que habitante do mundo há como tu?","abápe 'ara pora oîkó nde îabé?"
"Por isso mesmo os que conversam com eles transgridem a palavra de Deus","nd'e'i te'e i mongetasara tupã nhe'enga abŷabo"
"este outro","ikoba'e-te"
"Dizendo, digo asneiras","a'é tenhẽ marã gûi'îabo"
"coisa cotidiana, o que é de cada dia","ara-îabi'õndûara"
"Os que estão em Maratauá acreditam em minhas palavras, entregando suas almas em minhas mãos","marataûãme tekoara ogûerobîá xe nhe'enga, xe pópe o 'anga me'enga"
"Fome, sede, cansaço, quaisquer coisas sofrendo por nós","ambyasy, 'useîa, kane'õ, mba'e tetiruã porarábo îandé resé"
"As canoas eram muitíssimas","ygara setá-katu"
"melado ou mel de cana-de-açúcar","u'ubae'ẽ eíra"
"Ficaram fazendo ferimentos em seu corpo todo?","seté îakatupe ybŷá i moperé-perebi?"
"homem ignorante","abá-tekokuabe'yma"
"Alimento muitos","aîopoîusu"
"Dirigiu de novo Pilatos sua fala aos judeus?","oîmoín-y bépe pilatos o nhe'enga îudeus supé?"
"Vinde, levai os malditos, erguendo-os, para sapecá-los em nosso fogo, tostando-os bem","peîori, perasó muru, supi, îandé ratápe sapeka, saîmbé-katûabo"
"Quem Deus fez primeiro como habitantes do céu?","abá ranhẽpe erimba'e tupã oîmonhang-ypy ybaka porama?"
"Eu estou adoentado","xe mba'easyaíb"
"""Que se enfraqueça, que amoleça""","""t'onhemomembek, t'onhemoapapu"""
"Não sabe o senhor que eu sou um beberrão?","nd'oîkuabipe ta'a kagûaramo xe rekó?"
"estando tu por longo tempo preguiçoso","nde ate'ỹ-mukuramo"
"É terrível minha captura","i abaîté xe rembiasaba"
"Mandando fazê-los embarcar numa arca de madeira, semelhante a um navio","ybyrá karamemûã, ygarusu nungara pupé i mo'ar-uká"
"Meteste a mão nas partes erógenas de teu companheiro?","erepo'ẽpe nde rapixara rapupé resé?"
"Que suas almas caiam logo, deixando seu criador, apegando-se, pois, a nós","i 'anga t'o'a taûîé, o monhangara reîá, rõ oby'a îandé resé"
"Salteio","aporero'ar"
"Fazendo estar os outros bem longe dele","i xuí-katu amõba'e rerekóbo"
"Indo eu para trabalhar","ûiporabykŷabo gûixóbo"
"Fazendo-o estar com firmeza","ten i mo'îabo"
"Eu sou esquecidiço","xe resaraîpotar"
"Não quis em nós o assalto de nosso inimigo","n'oîpotari îandé ri îandé sumarã pu'ama"
"Estais na condição de fetos de vosso senhor","peín pe îara momburu'abamo nhẽ"
"curtinho","asangĩ"
"o que foi encarcerado na prisão","mundeokype i mondebypyrûera"
"Dirigi-a","asebikok"
"gordura de vaca","tapi'i-kaba"
"Eu sou Guaixará, bebedor de cauim","gûaîxará kagûara ixé"
"o doente que está ao teu lado","mba'easybora nde kotypendûara"
"Aperta a cabeça do maldito, enfraquecendo-o muito","oîopyk muru akanga, i moatãe'ỹngatûabo"
"Fizeste poções?","mosangape ereîapó?"
"É difícil essa língua","i abaíb aîpó nhe'enga"
"O que trabalha no domingo","domingo pupé oporabykyba'e"
"A de protetora dos aflitos é tua fama sempre","moreaûsuba rerekoara nde rerapûana îepi"
"Os que têm a bem-aventurança são os que têm pena das pessoas","tekokatu-eté rerekoara i poraûsubaryba'e"
"Amai vosso criador","pesaûsu pe monhangara"
"Anuncia os que serão casados","ogûeronhe'eng i mendarypyrama"
"Brigarão, cuspirão um no outro?","omarãmonhangype, oîoendyne?"
"Hei de comer seus miolos","i aputu'uma t'a'u"
"por dois meses [lit, duas luas]","mokõî îasy"
"casca de coco","inaîagûasu apepûera"
"Moro com Pedro","kó taba pupé aîkó - moro nesta aldeia aîkó iké xe roka pupé - moro aqui em minha casa aîkó pero irũnamo"
"Não somos diferentes","nd'oroîoabyî"
"Que aumenteis o amor a Deus neste mundo","ikó 'ara pupé tupã raûsubagûera ta pemoîoapyr"
"mancebo de pouca idade","kunumĩgûasu-kakuabamo"
"linha grossa de pescar","pindasã-muku"
"Dou topadas no esteio","aîapi okytá"
"Arruinei a todos","aîmomoxy pabenhẽ"
"Como ages embriagando-te de cauim? Fazes o que não deves, então?","-marãpe ereîkó kaûĩ suí esabeypó? ereîkomemûãpe a'ereme?"
"neném compadecedor","pitangĩ-moraûsubara"
"Descendo com seus choros, indo com seus gritos Nem por isso eles acabarão","o îase'o rerogûeîypa, ogûasẽ-gûasema rerasóbo ndaeroîaî xûé i pabine"
"Que mau é ele!","tieté maniîabo a'e!"
"Mesmo o que assassina na guerra ?","gûariniãme oporapitiba'e tiruãpe?"
"fibras muito grossas","pó-anamusu"
"Eu mesmo sou quem o queimou, no tempo em que ele vivia","ixé aé sapysarûera, sekobeaba resé"
"Esta aldeia transtorno sempre","kó taba aîpobu memẽ"
"Caburé, vem correndo para que comamos os inimigos!","kaburé, îori enhana tobaîara t'îa'u!"
"Nunca acaba de comer, não come fulano completamente as coisas","nd'o'u-apyî ahẽ mba'e"
"calos dos pés","mby piru'a"
"Hei de comer todo o banquete de Jacaré-guaçu!","t'a'u pá îakaregûasu pepyra!"
"o que tem beiço grande","sembegûasuba'e"
"Fiquei-o contando","aîkuabe'u-be'u"
"Como modo de fazer voltar em si a virtude","tekokatu reroîebysabamo"
"Contendo a Deus, está cheio teu ventre","tupana rerupa, i por nde rygé"
"Com uma lança espetaram seu flanco, causa de verterem imediatamente dele água e seu sangue","minusu pupé iî yké kutuki aûnhenhẽ 'y sugûy abé i xuí i 'ẽaûama"
"meu pai, o que me gerou","xe ruba xe monhangara"
"Havemos de ir contigo","t'orosóne nde rupi"
"Ainda mais Pedro","pero angabatene"
"Tu vives?","-endépe ereîkó?"
"Quais são, por acaso, as ocasiões de se ter medo da morte?","mba'e-mba'e-piã te'õ suí nheangûaba?"
"Arrombei-o","aîmonarang"
"Capim às pressas colocando","kapi'ĩ anhẽ rerupa"
"Estavam dormindo por causa da aflição","oker okûapa tekotebẽ suí nhẽ"
"Nele as pessoas batem à tua vista","sesé abá pûari nde resápe nhẽ"
"Eu tenho muitas bolhas","xe piru'a-ru'a"
"Entristeci-me","anhemoingotebẽ"
"homem soberbo","abá-poroîukaíba"
"Sangue verdadeiro de meu Senhor Jesus Cristo, tu, outrora, como resgate, fizeste derramar-te na cruz","xe îara îesu cristo rugûy-eté, nde erimba'e morepyramo ereîemo'ẽukar cruz pupé"
"Fizemo-nos passar uns aos outros, passamos uns com os outros","oroîoerokûab"
"Estando diante de Deus, de mim não te afastas","tupã robaké eîkóbo, xe suí nd'eresyryki"
"Dormiu comigo","xe posé i keri"
"Ah, que atrevido!","tekatueté mã!"
"Tu costumas levantar-te diante de teu pai?","nde pu'amixûé nde ruba pé?"
"peso de orelha, orelheira","nambi-paîa"
"Deixaste de ouvir a missa?","ereîmopanemype missa renduba?"
"Eu sou muito falante","xe nhe'engetekatu"
"Aqui alguém está, certamente","ké abá rekóû anhẽ"
"Portanto, prendo-te!","irõ oropokosub!"
"Vós mesmos vos danais ao ficar perturbando esta aldeia","peẽ aé peîekûá kó taba pobu-pobu"
"Ainda é muito cedo para isso","nd'e'i-angáî"
"Compadeceste-te de tua mãe e de teu pai?","eresaûsubápe nde sy, nde ruba?"
"companheiro dele","i irũ → irũ"
"Vem para o meu lado!","eîori xe posé"
"Eu sou doido","xe 'angaingaíb"
"Tu és sempre nosso remédio","nde îepi oré posanga"
"Tu tiveste excitação com teu amante?","-nde regûyrõpe nde agûasá resé?"
"Eu sou visitador","xe posubixûer"
"Moro com Pedro","aîkó pero irũnamo"
"Varri os ciscos","aytypeir"
"De modo algum os temiminós tiram seus nomes antigos","nainanĩ temiminõ o erumûana mombó"
"Vou para resgatar os índios","asó apŷaba porepŷana"
"Falaste duramente a alguém, irritando-o, fazendo-o odiar as pessoas?","erenhe'eng-aparatãpe abá supé, i moroŷrõmo, i moporoamotare'yma?"
"Comeste carne de caça, tendo farinha?","ere'upe so'o u'i rerekóbo nhẽpe?"
"Para o desaparecimento dos vestígios da transgressão da palavra de Deus","tupã nhe'enga abŷagûera rakypûera kanhemagûama resé"
"Ocupa-me tu","xe pûaî îepé"
"água salgada","y-e'ẽ"
"Ainda mais nosso corpo tem saudades de sua alma, sua verdadeira companheira, a que o faz viver","memetipó îandé reté o irũeté o moingobesara o 'anga repîaka'upa"
"Eu sobrei","xe rembyr"
"Esgotei a água dele","aîtyapyî"
"Tu te entristeceste ao alguém tratar bem teu próximo?","nde arurupe abá nde rapixara rerekó-katureme?"
"Amemos todos Santa Maria","t'îasaûsu pabẽ santa maria"
"Que está deitado aqui?","mba'epe ké tuî?"
"Depois disso, vamos hoje para quebrar as cabeças dos reis","a'e ré kori îasó tubixaba akanga kábo"
"Chegou a nós sua luz para sempre","osyk oré ri sendy îepi nhẽ"
"Por isso mesmo tua grande sujeira estraga as almas dos índios","nd'e'i te'e nde ru'umusu abá 'anga momoxŷabo"
"Faço-me estalar as mãos","aîepó-mopuruk"
"Pagou outrora por seu proceder assim?","osepyme'engype erimba'e emonã o ekoagûera?"
"Eu estou sujo","xe ky'a"
"enxota-os de vossas almas","pe 'anga suí i mondóû"
"Vamos, devagar, para fazer o assalto, para queimar a terra dos malditos","t'îasó, mbegûé, îapu'ama, t'ixapy moxy retama"
"Para outra coisa que não o pássaro a flecha foi","gûyrá taté u'uba sóû"
"o que é louvado","i mombe'uporangymbyra"
"Lembra-te já de teus destinos últimos, do fim de tuas coisas","nde ma'enduar nde rekosykagûama, nde rekó pabagûama resé rá"
"Ave Maria, a que está cheia de graça","ave maria, graça resé tynysemba'e"
"Eu, em vez disso, quero presas nas pessoas de alguns bêbados","xe-te, xe rembiá-potá sabeypora amõ resé"
"Barqueei as pessoas","aporero'yasab"
"Guarda-te de abandonar tua obra","teumẽ nde rekó mote'ebo"
"Eis que vais Vais","eresó ûĩ"
"Pode o padrinho casar-se com aquele que batiza?","e'ikatupe morerokarûera omendá o emierokûera resé?"
"Estamos entrecruzados","oroîekunasab"
"Quantas vezes o homem transgride aquele após atrair-se por uma mulher ou após conversar com ela enquanto não toca nela?","mbobype abá aîpoba'e oîaby kunhã resé onhemomotar'iré koîpó i mongetá roîré sesé o byke'yma pukuî?"
"Eu tenho barba ruiva","xe rendybaá-îub"
"entalhe da flecha","u'uba nhã"
"Eu sou destro","xe poîabab"
"Imaginai, em vossa morte, estardes vós deitados","peîmo'ang pe re'õ pupé pe ruba"
"Livra-nos tu dos que nos querem mal","oré pysyrõ îepé oré amotare'ymbara suí"
"Penteio-o","aîabyky"
"A cobra deixa sua própria vida ao pisarem sua cabeça","mboîa o ekobé reîari o akanga patukasagûerype"
"Esbofeteei suas mãos","aîpó-petek"
"Qual era mesmo o nome dele?","marã-takó ahẽ rera?"
"Que morra!","t'omanõ!"
"Ao comer junto de seus discípulos antes de sua morte, no dia posterior","oîrã o e'õ îanondé o emimbo'e pyri o karûápe"
"estopa torcida","yby-pomombykypyra"
"Lava-o, fazendo brilhar meu coração","eîmoîasyk, xe py'a moberapa"
"Para mãe de Deus é feita","tupã syrama ri i monhangymbyra"
"Os chefes velhos falam sempre a eles","morubixaba tuîba'e onhe'eng memẽ i xupé"
"arraia pitoca","îabebyrasyka"
"Do amor a Deus encheu suas almas","tupã raûsuba resé i 'anga porakari"
"Querem, sem mais, que as amem, ficando a enfeitar-se","o aûsuba oîpotarĩ, oîemomorã-moranga"
"Perdendo o entendimento por causa de sua bebedeira","sabeypora suí 'ara mokanhema"
"Esbofeteei suas têmporas","aîatypetek"
"remanso d'água","y-îebyra"
"Eu sou garrido","xe arũaíb"
"Balanço meu rabo","aîmobabak xe rûaîa"
"Procedo muito mal","marã-marã tenhẽ aîkó"
"Eu sou bem feito","xe aysó"
"Ficando a experimentar poções","mosanga ra'ã-ra'anga"
"Amo-o em vão","asaûsub-a'ub"
"Eu tenho corcova, eu estou corcunda","xe kupeasur"
"O que foge com uma mulher não pode casar-se com ela","kunhã reroîabapara nd'e'ikatuî sesé omendá"
"Nossa alma visitas","asé 'anga ereîosub"
"É muito mal feito aquilo que fazes","i ranusu nhẽ kûé nde remimonhanga"
"Fico-o chacoteando","aîkurá-kurab"
"Eu sou molengão","xe rekoporeaûsub"
"Eis que esta roupa será, adequadamente, de feriado","ikó aoba niã aûîé-katutenhẽ tupãnemendarama"
"Eis que sofrem muito, tendo sua vida envergonhada","sasyeté niã ogûekomara'ara reroína"
"Um ou outro, porventura, foi mau alguma vez","oîepé-ĩombé, nipó, i angaîpab amõme é"
"Não querendo repetir seu pecado que ele detestava","o angaîpagûera o emieroŷrõagûera reroîeby-potare'yma"
"Matá-lo-ei futuramente, com certeza","aîuká ipó irãne"
"Todos os bens de meus avós joguei fora","opá xe ramyîa ma'epûera aîtyk"
"muitíssimo rechonchudo","asangusugûasu"
"caçador de pacas","paka rupîara"
"Que chegue logo ao lugar em que o matarão","t'obasem esapy'a o îukaûãme"
"Breei-o","aîkytyk"
"Vela bem por mim, mandando que não me façam cair","ema'enãngatu xe ri, xe mbo'are'ym-uká"
"Ainda que me castigasse, eu falaria","aûîebé-temo xe nupãû anhe'engĩmo"
"Que estes em quem mandas lancem fora toda a maldade","kó nde remimbûaîetá t'oîtyk pá tekopoxy"
"perseguidora do diabo","anhanga momosembara"
"Após entrarem em colapso o sol, a lua, a terra, o mar, então os anjos vêm","kûarasy, îasy, yby, paranã rekomemûã roiré a'ereme karaibebé ruri"
"Que a gente honra ao erguer o padre o cálice da missa?","mba'epe asé oîmoeté abaré itaîukamusi rupireme?"
"pedra de beiço pontuda","metarapûá"
"ossada","mba'e-kangûera"
"mulher de baixa estatura","kunhã-mirĩ"
"Desvirginaste alguma menina? Segundo tua vontade ou ela resistiu completamente?","eresugûykápe kunhataĩ amõ? semimotara rupipe koîpó i popyatã-mbápe?"
"Logo, vencendo os temiminós, habitantes daqui, frequentá-los-ei","koromõ keygûara temiminõ moaûîébo, asapekóne"
"Que venha para nos curar","t'oú îandé posanonga"
"Abusaste de alguma criança no seu sono?","ereîapyaípe pitanga amõ i kerype?"
"Caiu a chuva","okyr amana"
"Pode a gente trocar seu próprio nome?","e'ikatupe asé ogûera rekobîarõmo?"
"Eu não tenho anzol","na xe pindáî"
"Eis que veio o que me entregará","aîpó xe me'engarama ruri"
"Que as veja logo","t'asepîak taûîé!"
"Eis que aqui estou","kó é aîkó"
"Mandaste tua esposa ir em busca de mulheres?","ereîopûaîpe nde remirekó kunhã resé?"
"Eu estou esfalfado","xe ra'ypab"
"Vinde para pranteá-lo ao entrar ele em vós","peîori sapirõagûama resé pe pupé seîkéreme"
"Tomaste, sem razão, alguma coisa de alguém?","ereîar tenhẽpe abá mba'e amõ?"
"Aonde ele foi após acabar de comer?","mamõpe i xóû o mba'e-'u-pab'iré?"
"Eis que vou","asó iã"
"Imediatamente, água e sangue dele vazaram, escorrendo","aûnhenhẽ 'y sugûy abé i xuí i 'emi, osyryka"
"Imitaste os homens maus?","eresa'angype abá-memûã?"
"após vertê-la dentro de alguma casca de coco","inaîagûasu apepûera amõ pupé i nhang'iré"
"nunca mais","aani xûé ko'yténe"
"Imediatamente vais para teu terreiro para cantar","aûnhenhẽ eresó nde rokápe enhe'engá"
"Pesquei peixes","asekyî pirá"
"por aqui","kó rupi"
"Tu tiveste polução, tendo desejos sensuais?","erenhemoa'ypupukype nde poropotaramo?"
"Que farão no céu?","marãpe sekóû ybakypene?"
"Ao passar minha família, tu cuidavas dela","xe anama gûatasápe, nde morerekoá sesé"
"Bateste com o pau na tua esposa!","ereropûar ybyrá nde remirekó resé!"
"Essa é uma cidade?","tabusupe ûĩ?"
"Depois disso, os descendentes de Noé perderam-se?","a'e roîré bépe noé remiminõetá roparamo?"
"Alimentando-o um pouco em teu seio","i poîa-mirĩ nde kama pupé"
"Aqueles serão saciados","a'eba'e i moytarõmbyramo sekóûne"
"Eu estou muito empanturrado","xe rebykatãgûasu"
"A aldeia está assentada de comprido","opukubo taba reni"
"Sofrem a dor de não verem a Deus","oîporará tupã repîake'yma rasy"
"Eis aqui também a ingapema pintada, para que arrebente a cabeça dos malditos","kó bé ingapé-kûatiara, t'aîakã-mombuk muru"
"Ah, eu fui muito pecador!","xe angaîpabeté'i ra'u mã!"
"A ti ficamos bradando","ndebe orosapuká-pukaî"
"Acredita, meu padrinho, hão de te apresar hoje","erobîá, xe rubangab, ta nde moembiá kori"
"Eu não tenho boca sossegada","na xe îuru-pyki"
"Que sejam muitos os meus nomes!","ta setá-katu xe rera!"
"Há de ser coisa insignificante somente","a'uba nhote i por re'a"
"A chuva ficava amanhecendo a cair, enchendo o mar","oky-ko'ẽ-ko'ẽ amana, paranã momungábo"
"ponta de galho","sakãpyra"
"A gente se batiza muitas vezes?","setápe asé nhemongaraíbi?"
"tempo, lugar, instrumento, causa, modo, companhia, etc de matar","îukasaba"
"Constantemente","-mba'e-mba'eremepe asé îeruréû i xupé? -îepi nhẽ - em que ocasiões a gente reza para eles?"
"Saiu para o pátio","osem okarype"
"Vou novamente","asó benhẽ"
"Por isso mesmo as malditas correm","nd'e'i te'e moxy onhana"
"É terrível o senhor Jesus, fazendo tremer nosso inimigo","i abaeté pa'i îesu, îandé sumarã mondyîa"
"bolsa do abdômen","ambé-aîó"
"Como o confitente procede?","marãpe nhemombegûara rekóû?"
"Creio na vida que não acabará","arobîar tekobé opaba'erame'yma"
"lume das águas","y rendyîaba"
"sangradouro de rio","y-mombukaba"
"Eu tenho olheiras","xe resagûyrumbyk"
"Reritiba, minha terra, dela venho aqui","rerityba, xe retama, i xuí xe ruri ké"
"Antigamente pescava bem os peixes","akûeîme rakó pirá asekyî-marangatu"
"Ensina falsamente as pessoas a provarem a palavra de Deus","oporombo'e-a'u tupã nhe'enga ra'anga"
"Estou com muitos furos, estou esburacado","apu-puk"
"Existe meu auxiliar verdadeiro, o grande chefe Aimbirê, o pervertedor dos índios","oîkobé xe pytybõanameté, tubixá-katu aîmbiré, apŷaba moangaîpapara"
"o que irá para o céu","ybakype soarama"
"Tão logo vindo ele","oú abé"
"Portaste-te mal com tua embriaguez?","ererekó-memûãpe nde sabeypora?"
"antigamente, após a criação do mundo","raka'e 'ara nhemonhang'iré"
"Como a gente procede para o cumprimento da vontade de Deus?","marãpe asé rekóû tupã remimotara moporagûama resé"
"Eu sou terrível","xe taŷgaíb"
"Ah, sim!","eẽ hegûé!"
"Ele secou","typab"
"Peço a Deus por minha virtude","aîeruré tupã supé xe angaturãgûama resé"
"Vôo como este vento","abebé kó ybytu îá"
"Tu me escaldaste","xe rũî îepé"
"Eu estou morno","xe rakubaíb"
"ao longo do caminho, todo o caminho","pé pukuî"
"Embelezou-te grandemente","ndaeté nde momorangi"
"Diz-se que vou","asó ra'e"
"Serão muito fedorentos, serão muito podres, corroídos de vermes e de bernes","i nemeté, i tuîuketé, tasoka, ura remimongûyamone"
"Chegamos sucessivamente","orosy-syk"
"De sua vida má nos afastando","sekó-poxy suí îandé reîyîa"
"Porventura é terra, na verdade, a nossa carne?","yby anhẽ nipó asé ro'o?"
"Trouxeste algumas facas de ferro?","ererupe itá kysé amõ?"
"Hei de ver tua face","t'asepîáne nde robá"
"Tu terás a alma limpa","nde 'ã-kytyngokyne"
"Eu sou fleumático, eu sou vagaroso","xe mbegûé"
"Faze-me tu valente para que eu me oponha ao maldito","xe mopyatã îepé, t'apu'am muru resé"
"Mãe de Deus muito bela","tupã sy-porangeté"
"Portanto, tomou este dia como tempo de honrá-los em conjunto","emonãnamo kó 'ara rari oîepegûasu i moetesabamo"
"Mas não se esforçam esses por aprender sempre?","n'osa'angi-tep'akó nhembo'e ko'arapukuî?"
"Por isso, na verdade, é que a gente detesta o pecado mais que a morte?","nd'e'i te'e ipó asé pecado moabaetébo te'õ sosé?"
"Ainda que somente uma migalha dele a gente come","i kurubipûera anhõte îepé asé o'u"
"Creio que ele retirou também as almas dos nossos primeiros e santos pais , que aí esperavam sua vinda","arobîar asé rubypy-karaibetá 'angûera a'epe turama osarõba'e renosemagûera bé"
"Acaso Deus tem vista aguda para me ver?","sesapysó a'upe é tupã xe repîaka?"
"vagem seca","topé-tininga"
"Como se eu fosse","xe só îasûaramo n'aé"
"Aos olhos dos homens somente, mas não de verdade,","abá resápe nhote na supi ruã-te"
"Eu sou rechonchudão","xe asangusu"
"Deveria ser ele, primeiro","ahẽ ranhẽ temonemo"
"Sou seu parceiro de dança","i nhandaramo aîkó"
"Lado a lado seus cadáveres ao longo do mar estavam","o îoybyri se'õmbûera paranã ybyri i kûáî"
"Rangem-me os dentes","xe rãî-ngyrỹî"
"Cavei-o duramente","asybykoî-atã"
"Não haverá outra comida?","n'i tybi xûépe amõ mi'u?"
"Foram S Pedro e São João","osó s pedro, são joão abé"
"Fazendo escorrer o sangue dele","sugûy mosyryka i xuí"
"Após arrependerem-se de seus atos, os índios vão confessar-se","o ekó moasy riré, abá sóû îemombegûabo"
"Uma púrpura colocando nele","amõ aopyranga mondepa sesé"
"Pranteando o que o visita","o supara rapirõmo"
"Como estava orando a seu pai?","marãpe seni og uba mongetábo?"
"Os temiminós, de dia, confessam seus pecadilhos, somente","temiminõ 'arybo nhẽ oîmombe'u o angaîpá-mirĩ anhõ"
"o leme da embarcação","ygara ropytaerobakaba"
"Enfim, tendo-se vingado, obedeceram-me","rumby oîeepyka, xe rapîá"
"Não pode com ela casar-se enquanto a mantiver em esconderijo","nd'e'ikatuî sesé omendá mimbápe serekó pukuî"
"De manhã, cuidando de sua comida","ko'ẽme gûemi'urama resé onhemosaînana"
"o que é enforcado","i îubykypyra"
"Qual é nosso consolo, então?","mba'epe asé apysykabamo a'ereme?"
"Então foi?","osó-tepe ra'e é?"
"ter-nos-iam amaldiçoado","îandé momburu meémo"
"Verdadeira estância de Deus, filha de Deus","tupã rendabeté, tupã raîyra"
"Eu não sou resistente, eu não sou firme","na xe popyatãî"
"pescando bem os canapus","kunapu rekyî-etébo"
"Quer perdoar muito a nós","i nhyrõngatu-potá îandébo"
"Doador de nossa vida","îandé rekobé me'engara"
"E ao partir muitas vezes o padre a hóstia em pedaços, em cada pedaço dela Nosso Senhor Jesus Cristo está?","a'epe abaré hóstia pese'õ-etá-etáreme i pese'õmbûera îabi'õ îandé îara îesu cristo rekóû?"
"Consolar os aflitos","oîkotebẽba'e moapysyka"
"Confessa-se alguém antes de embarcar num navio?","onhemombe'upe abá ygarusupe o 'ar-y îanondé?"
"Parece flutuar","obebuî-berame'ĩ"
"Fiz meu filho dormir comigo","aroker xe ra'yra"
"Fizeste que uma mulher se pusesse sobre ti para fazer sexo com ela?","ereîmonhenongype kunhã nde 'arybo sesé eîkóbo?"
"Não ia para o céu outrora a alma de ninguém?","abá 'angûera amõ soe'ymi ybakype erimba'e?"
"Fujo","aîabab"
"Estorva-me o Senhor Deus!","xe moarûá pa'i tupã!"
"Guarda-te de o levares","teumẽ ké serasóbo rá"
"Em quais dias a gente se confessa?","umãba'e 'ara pupé asé nhemombe'uû?"
"Eu não tenho visão, eu sou cego","na xe resapysóî"
"Ambos tremerão hoje, assim que me virem","mokõîbé osyî kori, xe repîaka rupibéne"
"mas, de verdade","anhẽp'anhẽ"
