tupi,portugues_pred
"te'itenheumẽ mba'e amõ nde motekokuabe'yma","Que seja o que te faz sentir"
"i mokunhãmbyra","sua mãe"
"gûyrá pepekeme","Bem, bem, bem, bem"
"xe ruba rekobîara é re'ĩ","Tu és o que faz o pai"
"eîori sa'anga t'oîpuru tekó-poxy","A gente tem que usar a vida"
"eresópe abá îeky-'ye'ẽ supa, i pora rá?","Que alguém, por sua vez, tenha sido um homem de boa vontade?"
"t'oré pyatã, angá","Que seja o que está, o que está"
"aanumẽne! asabeypó","Eu vou comer! Eu vou ter com ele"
"nde apysy-katu ko'yté pytunusu nde 'anga moingotebẽsagûera suí nde sem'iré","Tu, tu que estás no meio da escuridão, tu és o que te faz cair em tua alma"
"y-pytera koty asó","A minha casa de água"
"tupãmongetá pupé","O que é Deus"
"abá-ekotenhẽ ixé","Eu tenho o que é"
"na nde arõî nde puká","Não te vou embora"
"îasy mba'e i 'upyra","O que é mau é mau"
"ikatupe nde moĩndara","Talvez não te deixes"
"aûîé kunumĩgûasu o ekó-aíbeté oîomim","A gente que está em paz, está em paz"
"marãpe sekoagûera peẽ i mbo'aragûama?","A quem é que vocês são os mestres?"
"eîori oré retama 'ara rupi nhẽ, i xupa","A gente está por causa do nosso corpo, por causa dele"
"xe remimbo'epûera","Meu discípulo"
"abá-angaîpabĩ takó mba'e-katu ogûerekó xe suí mã!","Que o que é mau, o que é mau, é meu pai!"
"aîmoaku'i","Eu estou a morrer"
"apŷaba sogûabo pá","Eu sou muito mau"
"seteba'e","a partir de hoje"
"t'osó-pá xe mara'ara kûepe xe 'anga suí","Esquece-me, em minha casa, o meu espírito"
"serapûanyba'e","o que é um serapão"
"okakar xe sorama","Eu fui para o outro lado"
"xe rakamby","Eu sou o meu pai"
"sokyra","a minha mãe"
"amõ 'yba gûemityma pyterype o'amba'e kuabe'enga","A gente que está em paz, que está em paz, tem que ser muito feliz"
"na mboby nhõ ruã akaîu-'aîubane aûîeramanhẽ-te","Não vou para o céu, para que eu não seja mais velho"
"mosangape ereîpuru ture'ymagûama ri?","Tu usaste o nome de Deus como o de um homem?"
"onhembo'e tupã nhe'enga o emierobîarama resé","Ensinou a palavra de Deus para que ele se humilhasse"
"og ugûy-tekatu i mo'ẽ-uká","A água é a força de sua boca"
"okara koty","ele está em casa"
"asé angaîpaba rembyrûera","Eu sou o que faz pecado"
"abá-tepe erimba'e, pe mba'erama resé apŷaba me'enga'ubi?","A quem é que você está, por causa da morte de seu pai?"
"aînupã apyri'ĩ","Eu sou o que está de pé"
"ygasápe kaûĩ-tuîa a'e ré îamomotá, oîoîá gûaîbĩ rekuîa","Ao longo do mar, o nome de Deus é conhecido, sendo o rei de todos os homens"
"au'i-mogûab","Eu sou um homem"
"ybyrá-pokanga","A água do mar"
"nebe oronheangerur oré poasemamo","Não nos encheram de nós"
"peporeaûsu korine","A gente está muito bem"
"ikó ybytygûaîa îasegûaba pupé","A gente que está no céu, tem que ser muito boa"
"abámo mba'e-katu 'uagûera n'oîkuabi xûé?","Que coisa é que não é feita por alguém?"
"xe ky'a-te turusu","Eu sou um homem de pele"
"asetun","Eu sou o que é"
"aûnhenhẽ sasẽ-sasemamo","Eu vou para o céu, como um grito"
"o angaîpaba moasŷabo, seroîasegûabo","Ele é pecador, sem causa, sem causa"
"xe apyri tuî - ele mora a meu lado o îoapyri oré roka ruî","Eu tenho o meu pai - ele morre de lado meu, nos fazendo cair"
"opabĩ kunhã sosé nde momba'etébo é","Todos os que estão em paz te abençoam"
"gûimanõmo","nós somos"
"erenhemombe'upe nde memby-kuî îanondé?","Contaste antes de teu filho?"
"arekomarã","Eu tenho"
"itaîu-po'yra","Filho de uma mulher"
"o sorambûera resé sekotebẽû","O que nos faz ficarmos bem"
"oîmbourype erimba'e mba'e-katu amõ ybaka suí o boîaetá supé?","Que se tornou o homem que se tornou o homem que se tornou o homem que se tornou o homem?"
"xe, anhangusu-mixyra, gûaîxará seryba'e, kûepe i moerapûanymbyra","Eu, o que é santo, o que é grande, o que é grande, o que é grande"
"xe ker-aparar","Eu sou o que me guarda"
"o membyraragûera kûab'iré, santa maria o membyra îesus rerasóû tupãokype","Para o nascimento de Jesus, a santa Maria foi a filha de Deus"
"abá-abápe asé resé tupã mongetasaramo sekóû?","Quem é que, porventura, é o que Deus quer?"
"o ekopoxy resé, opabĩ abá mondyki","A gente está muito bem, todos são ladrões"
"iîá îaby ahẽ mã!","Que eu seja muito mau!"
"ererekomemûãpe nde rapixara mba'e?","Cometeu-lhe o que quer?"
"xe irũ a'e ã","Eu sou meu amigo"
"emonã tekoarûera îaîpe'a","Que a justiça seja destruída"
"irõ, xe îar, abebé","Eu sou, eu sou, eu sou, eu sou"
"sakûãîba'e","a sua alma"
"aîkobé n'ixé sarõana","Eu não sou muito velho"
"agûasem","Eu sou o que está"
"oîaobok serã ybŷa katupe nhẽ i moingóbo?","Que se faz com que o homem seja muito mais velho?"
"mba'easybora o mara'ara kakareme t'osenõîukar abaré, îandykaraíba nongara","A gente que tem uma grande tristeza, não tem medo de ser condenada"
"mosapy ipó xe boîáramo nde rekó ereîkuakub mokõî gûyrá sapukaî'e'ymebéne","Quando eu te fizer morrer, tu te juntas a ti como a mulher de dois homens"
"iîá omanõmo","Morreu muito"
"erenhemoatyrõpe eîegûaka nde poropotaramo?","Você é muito forte quando se apaixona?"
"a'u temõ mba'eaíba mã a'emo nhẽ xe re'õû","Comendo coisas que não me fazem ficar"
"a'epe muru'apora membyrasy kakara, na nheangûaba bé ruã?","Com a morte de seu pai, não o faz?"
"nd'e'ikatuîpe abá o mũeté resé omendá?","Não pode alguém casar-se com alguém mesmo?"
"tupã remimotara rupi","por causa da vontade de Deus"
"ereîmorype i nhe'enga mba'e-katu resé nde pûaîme?","Arrependeu-se de sua morte por causa de algo que lhe foi dito?"
"xe rybykasy","Eu tenho medo"
"xe aparĩ","Eu estou deitado"
"xe py-syryk","Eu tenho raiva"
"aîopûaî amõ abá pindoba resé","Eu tenho que ir para o lado de todos os homens"
"nd'e'i ymûanĩ ahẽ i îukábo","Não disse que o velho tinha ido para o lado dele"
"nde pó gûyrype oroîkó, nde resé oroîekoka","Com a tua mão, eu te vou buscar"
"andyrá ruãpe é?","É o que é que eu sou?"
"osó-osok","Ele sai"
"moroún oîkóbo","O que está aqui"
"xe gûyri bé","Eu sou o meu pai"
"i porang kó tupãoka, îegûakabetá rerupa!","Que bom seja este deus, que ele seja o que faz isso!"
"îori, anhanga mondyîa, oré moaûîé suí!","Sim, maldito ladrão, nós somos o que nos faz morrer!"
"xe eúme","Venha comigo"
"ybytu nde rasapápe","O mar te faz cair"
"i kunusãî abá supé onhe'enga","Sua mulher, porém, foi muito mau"
"amotare'ymbara","Eu tenho que ir para casa"
"aîpyapasá-mondeb","Eu sou o que passa"
"itá kasara","a caça de pedra"
"tatá-endy-etá, asé apekũ abŷare'yma anhõ osepîak","Queimando-se, por isso, o que faz o homem ser mau"
"i îukapyrûere'yma","Ele é muito velho"
"o îoasykûera ri îasûaramo i îogûerekóû","Ele foi para a terra, para que ela fosse para sua terra"
"kybõ-ngoty bé","a queima de água"
"a-putu'uma","Eu tenho que ir"
"ereîaîubãpe kunhã amõ?","Não te tiraste de mim?"
"tá-tyba","cidade-estrela"
"s pedro itangapema osekyî i nambi mondoka","São Pedro, o que é o homem, roubou sua espada"
"aîpĩ-pin","Eu estou de pé"
"miapé îyba","Que o queima"
"t'oroîkó nde ypype nhẽ, oré sumarã mondyîa","Tu, primeiro, nos trazes, nos trazendo para o inferno"
"nde arũaípe nde rapixara 'arybo eîupa?","Tu, em tua casa, estás a ser o que te quer?"
"eîori xe moîegûaka","Venha para me fazer morrer"
"a'epe i moîypa, i gûabo","Eu sou seu pai, seu pai"
"xe robyr","Eu sou o que me faz"
"îamanõ îepémo serã sepîakagûera abá supé mombe'u e'ymebémo","A gente tem que ser muito mais forte para que o homem seja mais forte"
"erema'ẽ-nhemomotarype amõ rapopé reséno?","Vês, porventura, o que é que fazemos?"
"a'epe cristãos tupã nhe'enga abŷara, marã?","Que os cristãos não são mais do que os deuses, pois não?"
"xe apỹî","Eu sou o meu pai"
"onheangerekóbo o angaîpagûera resé","Ele se envergonhou de seu pecado"
"xe apu'a","Eu estou a morrer"
"kunhã'yba xe raûsu","A minha vida é a minha vida"
"t'oropyk","O que é que é que é"
"tupã boîáramo nhõ oîkó-potá","Deus é bom, porém, para que seja bom"
"omanõ îepémo oîemongaraíb'e'ymebé re'a","Morreu mesmo, não sendo batizado"
"oîmoasype a'e riré a'e 'ybá 'uagûera?","Que mal é que eu tenha feito depois de ter ido para o céu?"
"oré raûsubá îepé","Nós somos muito velhos"
"tó! aîpó n'i papasabi, kûarasymo oîké îepémo!","Não é o que é o papasabi, o que é o que é o papás!"
"seîmbaba rekobîáramo amõ aîme'eng i xupé","Se todos os que estão em paz, eu os vou matar"
"mamõpe tupã rekóû?","Que Deus tem?"
"reîamo ereîkó tenhẽ, setá tenhẽ nde boîá, xe-te t'oroporaká","Se tu te vires, para que te deixes levar, eu sou o que te faz bem"
"araíba","o diabo"
"tupã resápe ã xe rekóû","A vida minha é diante de Deus"
"oîkuapá-me'eng umûãpe îudas îandé îara îudeus supé erimba'e?","Que tal o homem que foi judeu, por causa de seu nome, ser judeu?"
"mamõpe ybŷá îandé îara rerobasemi ko'yté?","Que dia é que o homem vai para a terra?"
"n'oîeruré-pytubari tupã supé ogûenosemarûera resé","Não querendo que Deus nos dê o seu nome"
"îukyruru","a sua boca"
"xe n'aîu-potari biã, karaíba moabaîtébo","Não sou eu que me engano, o que é o rei"
"n'a'ekatuî","Não pecar"
"xe pykûab","Eu estou deitado"
"mba'epe asé moesãîndaba a'ereme?","Que é que eu tenho de fazer?"
"n'aker-angáî sekasápe","Não se afaste de nada"
"i pyrybé perobîá","Ele é o que faz com que ele seja"
"xe só îarameté","Eu sou só o que está a fazer isso"
"tobá kuruba","a sua cabeça"
"asatapyĩ'ok","Eu estou a chorar"
"ambyasybora poîa","Eu sou muito mau"
"akûeîme, i apyrasapa, xe nde moingosaba é","Em minha cabeça, em sua boca, eu te vou mandando"
"îarekó é rakó mba'e-katu i poxyba'e suí i mouruébo","Que o que tem o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"marãmo ahẽ rekóû o mba'e-katuramo xe suí?","Quem é que me faz ir para o céu, para que eu seja capaz?"
"kunhãmuku rygépe pitangamo onhemonhanga","Na terra de Deus, o homem se encheu"
"o puru'a îuká potá mosanga o'uba'e","Ele limpou a cabeça de seu pai, fazendo-o ficar"
"abaîuru-apẽ","Eu tenho que ir"
"t'oú îandé pytybõmo xe rybyra","A gente está muito escura, minha irmã"
"emonãnamo serã tupã îandé rubypy arukangûera nhẽ monhangi semirekó retéramo?","Acreditas que Deus, por sua vez, é o que faz com que o homem seja o homem de Deus?"
"eremombûeîrá mara'abora","Enaltece-os com a maravilha"
"paresaramo aîkó","Se nós nos envergonhamos"
"ereîtykype kunumĩ amõ nde abiîxûara nde 'arybo moropotara suí?","Não te tiraste de ti, para que te deixes levar para tua casa, para que te deixes levar?"
"abá sosé pabẽ i momorangi","O que é que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"xe ru'um","Meu pai"
"peîori, xe irũ-etá","Vão, meus amigos"
"aûîé ipó xe rapixara mba'e-katuramo","Eu tenho o que eu tenho de fazer para me livrar"
"erasó esapy'a","Tu és o que me faz sentir"
"ygara rokytá","porta do mar"
"aîatyb","Eu estou deitado"
"kó yby'apapesûara","Esta água é muito forte"
"xe îetu'u ra'yrûera anhemonhang i pupé","Eu sou o filho de um homem que tem medo de ele"
"na xe reroŷrõî îepé","Não me deixes ficar"
"mytamytá-ypy","o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"aîmombe'uaíb","Eu disse-o"
"t'oú, nde îeruresápe, tupã oré moorypa","Vem, para tua casa, Deus nos abençoou"
"inĩ-ytá","a sua cabeça"
"sugûy mombukapa, îaînupã-nupã","A gente está muito longe, muito longe"
"tekopûera t'aîpe'a t'aîkó umẽne marani","A vida é a que se vai embora"
"kó 'ara marãtekoabe'yma","Esta é a primeira vez que o homem vai"
"yby abé a'ereme onhemonguébo, oryryîane","Se o mar se encher de água, nos encherá"
"y-pûã","água"
"amõ karaíba mosakara","Eu sou o que faz o homem"
"ara kó tekó aûîesaba cristãos rorybe'ymamo","Esta é a vida que eu tenho como cristãos"
"aporomoebykatã","Eu tenho de fazer isso"
"xe rapi'agûasu","Eu sou muito bom"
"omonhe'enguká temõ tupã te'õmbûera!","Que o que está fora de Deus é o que está fora de Deus!"
"gûeté-marane'yma","O que é que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"nandé rakó asé îeupiri ybakypene, o posyîusu reîtyk'iré","Não nos deixamos levar para o céu, para que nos deixemos"
"tatobapyygûara","o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"mba'e-poxy koty onhe'engaíbamo","O que é que a casa de coisas boas é queima"
"mokyrana'yra","filho de um homem"
"morobaîaramo aîkó","Eu sou um homem"
"-eresekyîpe îuraragûaîa abá supé i motĩbyka?","Não te esqueceste de que o homem se apaixona por seu filho?"
"oîeí bé muru kaî","Há muito bem o que está"
"sasy-eté ahẽ osóbo - é doloroso ir-se fulano sasy-eté ahẽ oure'yma ixé o enõîndápe","Com dor, fui para ele - o que é doloroso é que o irmão fulano, com dor, foi para ele"
"ereîkópe kunhã resé abá remiandubamo?","Você tem algum motivo para se lembrar?"
"ereîpytybõpe abá mondá resé?","Estais na terra de alguém que rouba?"
"aîmondó-momo","Eu sou muito"
"rerityba, xe retama, tabangaturãngatu","Tu, meu corpo, és o que me faz morrer"
"nde rera","Tu estás morto"
"nd'e'i te'e abá tekokatu potasara og o'opore'yma, i moîekuakupa","Não disse que a vida de qualquer homem se tornou mais boa, seu pai"
"o mba'e, nipó, asé o py'a pupé saûsubi","Tudo, mesmo, é o que faz com que o homem seja saudoso"
"aroten","Eu sou o homem"
"kó tabyîara ndaeté i poraûsubari","Esta árvore não é muito boa"
"asapy tatapynha","O que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"mba'e-takó?","Que coisa?"
"a'epe marã asé rekóû o îeaûsuba îabé-katu o apixara raûsupa?","Como é que a vida de alguém, por sua vez, é que ele é o que mais o faz?"
"aîepîar","Eu estou muito feliz"
"abá resé nhoamotare'yma rerekouká abá supé","A gente não tem que ser muito boa"
"sekoaba nhẽpe?","Em meio a uma escova?"
"xe poronupã îaby","Eu sou muito bom"
"aî'a-kok","Eu estou com raiva"
"ybytyra monte calvário 'îápe","A terra no monte do calvário"
"nd' eré mõ tenhẽ umẽ abá resé","Não te deixes levar por alguém"
"o'a îandébo kori","Ele foi para a terra"
"oporoîrarõ mbá","Ele é muito grande"
"a'e xe rekotebẽsaba oîme'eng ixébene","Eu sou o que me faz sentir bem"
"yby kûara","o queimado do mar"
"abá ra'angaba","o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"arybo","ano de vida"
"aîepotar","Eu estou a fazer isso"
"sebira aîpetek","Eu sou muito forte"
"t'arasó pá xe ratápe","Encostou-o em meu fogo"
"aîorab","Eu sou o que o faz"
"kûé-kûeîpe é","Eu sou o que está no meio"
"t'oroîtyk oré poxy, paîé rerobîare'yma, moraseîa, mbyryryma","A gente está muito feliz, muito feliz, muito feliz, muito feliz"
"xe mokõ kori, îandune","Eu sou um dos dois, o que é"
"xe-te xe mboú kori pe moanhana, pe mondóbo ikó setama suí","Eu sou o que me faz ir para o inferno, o ladrão é o que faz ir para o inferno"
"arasó-rasó-a'ub","Eu sou muito mau"
"xe karu","minha casa"
"îori sekyîa taûîé i py suí","Ele é o que faz com que as pessoas se afastem"
"aîmoîekûer","Eu tenho de ser"
"penheŷnhang pabẽ sesé!","Que sejamos sem o que vos faz!"
"a'é muruangaba","Eu sou o homem de Deus"
"xe nhe'ẽ-mby'i","Eu sou muito mau"
"i nhe'engasy n'opabi","Sua maldade não se afasta"
"xe rygynõ","Eu sou o meu pai"
"kunhã resé nde posaûsub'iré ereîmborype sesé nde posaûsubagûera?","Como é que tu, ao te afastar de ti, te afligires de ti mesmo?"
"aîpo'o","Eu estou com o queixo"
"abur","aburro"
"marã e'ipe kunhã okena rerekoara s pedro supé?","Que foi o que fez com que o rei Pedro fosse para a porta?"
"nde resé memẽ oroîkó","Tu és o que nos faz morrer"
"nha'uma suí i monhangymbyra","Não se esqueça de seu filho"
"asobaún","Eu estou a bater"
"ereroker-etápe îoamotare'yma?","Vós, porventura, vos apoderastes de vós?"
"xe resagûyryb","Eu sou o que me arrependia"
"kapi'i sosé kó tuî","O que é que é este velho"
"îagûara'yra","Ele é o filho de Deus"
"ikó îope'asagûera","Ele é que o faz"
"xe tekoaraibor gûitekóbo","Eu sou o que me faz sentir mal"
"ybakygûara","o que é o mar"
"mba'e rerosapukaîtara","Que nos faz perder"
"sesé nhẽ aîekotyá","Eu tenho que ir"
"eîpy-tybyrok xe roka","Estigam-se em minha boca"
"emonã îé abá rekóû raẽ","Acredita-o antes de tudo"
"xe ratá-te ogûé!","Eu só tenho uma arma!"
"nde nheangûaba bé irumõ-rumõmo","Tu estás muito triste, mesmo que seja o teu irmão"
"pitangĩ repîaka'upa, aîur xe roka suí","Que Deus seja poderoso, eu me enfiarei em seu lugar"
"tupã oîmonhyrõ o îoupé setá nhẽ seîxutatá tekoangaîpaba repy-mondykápe","Deus, por sua vez, fez com que o homem fosse salvo do pecado"
"oka'ugûasu pabẽ, apŷaba kunhã ndibé","Desceu para o lado, sem que ninguém o tenha"
"eva onhemomotareté 'ybá-poranga resé iî ykyébo","A gente tem que fazer o que é bom para Deus"
"nd'osóîpe i boîá amõ sakypûeri?","Não foi para ele, porventura, o que foi feito?"
"xe robaké aîpó i 'éû","Eu tenho de fazer o que é bom"
"anhemonhang a'eramo - converti-me naquilo anhemonhang gûyráramo","Eu me enfiarei - convertido em naquilo como enfiado de um homem"
"tupã osaûsupe'a, sesé oîerobîá-bebuîa","Deus é o que faz isso, é o que faz isso"
"kûarasy abiã oporomo'y'useî-eté, memetaé tatápe oína abá o'useî-etéramo","O que é muito forte, é que o que é muito forte, é que o que é forte, é que o que é forte, é que o que é forte, é que o que é forte"
"ereîoîaîpe abá amõ?","Vós, porventura, vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc vc v"
"mo'yrobyeté sepîakypyre'yma","O que é que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"îasepîak îepi i pypora","Ele é muito bom com sua cabeça"
"xe rugûy-syryk","Meu pai-de-ferro"
"a'epe xe soagûama","Eu sou o meu pai"
"u'ubae'ẽ kambykaba","a camada de um homem"
"aîma'e'ĩ","Eu já estou"
"n'asendube'ym-a'ubi - fiz que não o ouvi n'asepîake'ym-a'ubi","Não entendo que o que faz mal é mau, pois não o faz mal"
"our ko'emytanga","Nosso corpo está em estado de morte"
"memẽ nhẽ moxy îandébo marã e'i-memûã-memûã","A gente tem que ser muito boa para a gente"
"esendu","Eu ouço"
"aîpi 'y","Eu sou o que está"
"t'eresó rõ nde ratápe, aûîerama t'ereîub moreaûsuba monhangápe","Tu te tiras de tua boca, já que te tiraste de tua boca"
"xe îuru-îaî","Eu sou o que me faz andar"
"i pitangĩ mokambûabo","a sua alma, a sua alma"
"aybysosok","Eu sou muito conhecido"
"osobasápe asé o emi'urama?","Que dia é que eu vou?"
"na xe reroŷrõî sygûaraîybora","Não me deixes levar a minha vida"
"îaîmomboreaûsu ro'y","O frio de uma mulher"
"anhagûã-nhagûãî","O que é que é que é que é que é"
"oîkó kûepe mba'e resé nde ma'enduara enhemongetábo ekupa?","Que tem de fazer o homem para guardar sua alma?"
"aîkoé","Eu sou"
"n'oîkotebẽî amõba'e","Não é preciso que eu seja"
"ixé n'aîeîyî i xuí","Ele não tem a cabeça"
"oîrarõ, oîmoanhã satápe","Se estiverem, não estarão no céu"
"anheté a'é","Eu sou muito"
"turusu bé'ĩ","Deus é bom"
"miîukae'yma","a morte de um homem"
"nd'e'ikatu béî aîpó i pe'apyra'uba missa renduba resé","Não posso fazer nada para que o povo seja consagrado à missa"
"n'aîkóî sesé ko'yté","Não tenho nada de mais"
"ta xe pysyrõ marãtekó suí","Que eu seja salvo com a sua alma"
"xe rakûanhaíb","Eu sou o que escreve"
"yby rupi bépe sugûy syryki?","Por meio do mar, por que é que o homem é morto?"
"esokendabok nde roka","Escolhei tua pedra"
"mba'e abépe asé 'anga remi'u?","Que é que eu faço para comer a carne?"
"xe mendûera ipó re'ĩ","Eu tenho a minha alma"
"aîpó turi","Eu sou muito velho"
"t'arasó pá xe ratápe sembiaûsuba resebé","A minha alma está em minha boca"
"oobapybo aîub","Eu tenho de ir"
"esepîak xe mara'ara t'eresaûsubar xe 'anga","Que o meu Senhor me dê o seu nome"
"oré apûanã","Nós somos os que nos afastamos"
"ybyramo i moingó-ukare'yma","O mar é o que faz com que ele se torne"
"koromõ, keygûara temiminõ moaûîébo, asapekóne","A gente, que tem uma vida de vida, vai ficar"
"xe remirekoe'õ","minha mulher"
"naetenhẽ ã tekotebẽ xe 'anga apypyki","Não me deixei levar a minha alma para a verdade"
"tera'ute oú","A gente veio"
"xe aterẽ","Eu estou chorando"
"ybaka rasapa osó, nde reîá","O que está na terra, tu o trazes"
"xe apebĩ","Eu estou de pé"
"endé, nde îybápe, îesu eresupi i poîa-mirĩ nde kama pupé","Tu, em tua casa, Jesus te fez subir suas mãos para o teu quarto"
"i nhe'enga mombegûara","A sua boca está longe"
"erekopîasópe domingo koîpó 'areté amõ pupé?","A gente vai fazer o domingo hoje, por onde?"
"aîpé-'ok","Eu sou o que é"
"marãete'ĩpe jesus o enosẽme?","Jesus veio mesmo para nós?"
"xe rura agûerabé","Eu sou o que me faz cair"
"i ara'a îagûara îá, îandé rakypûemboú","Sua hora é muito boa, sua vida é muito boa"
"oú bé senha'ẽpepó t'omoîy xe renondé","Vim, mesmo antes de mim, para me fazer cair"
"itá karamemûã pupé i nongi","O que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"anhopan","Eu vou"
"xe tegûam","Eu sou o homem"
"aîpitupuku","Eu estou muito"
