portugues,tupi_pred
"Entrando nos seus antigos corpos, fazendo-os levantar imediatamente","oikevo hete yma guare, omopu'ãvo ichupe kuéra pya'e"
"Bem nesse momento perdoou a Pilatos","Upe jave oheja rei Pilatope"
"Como diz o primeiro deles?","Mba'éichapa he'i peteĩha?"
"Que puseram sobre sua cabeça?","Mba'épa omoĩ hikuái iñakãre?"
"ferimentos mútuos","Ñembyasy ojoapytépe"
"princípio da compaixão","Mba'eporãsa'ỹi rehegua"
"Nós somos numerosos","Heta ñande apytépe"
"Uma coisa amarga misturaram com vinagre","Peteî mba'e hovyete ombojoajúva vinagre"
"Adão, nosso primeiro pai","Adán, ñande ypykue"
"Ah, que velhaco!","Mba'eichapa tuja!"
"Cobrindo-o sua própria mãe, na verdade, com seu véu","Ombojeguata ichupe isy, añetehápe, ijao'o reheve"
"Elas, certamente, são más","Ha'ekuéra niko iñañáva."
"Sucedeu-me uma tormenta","Che rehe oiko peteĩ tormenta"
"Detestando seu pecado, a transgressão da palavra de Deus","Ovy'a hikuái hembiapo vaikue, iñe'ẽ rendy"
"Que espécie de mulher é Santa Maria?","Mba'eichagua kuña piko Santa María?"
"Eu estou adoentado","Che añembyahýi"
"Não são segundo a quantidade deles os peixes que ele apanha","Ndaha'éi pira hetaitépe ojagarra va'ekue"
"Eu tenho palavras desatinadas","Che ñe'ẽnguéra ndojehechái"
"O próprio céu é o que Deus prepara para nós, lugar em que bem coloca nossa felicidade futura","Yvága voi ha'e Ñandejára omoĩva ñandéve guarã, upepe omoĩ porãta ñande vy'apavê"
"Apoiamo-nos em ti","Rojerovia nde rehe"
"outras aldeias frequentando","ambue táva ohóva"
"Eis que minha alma, lugar de tua vinda, há de estar como teu leito","Ko'ápe che ánga, nde rendápe, oikóta nde yvotytýpe"
"Suponho eu que ele tenha ido, de fato","Aimo'ã ohohague, añetehápe"
"Quando cumprirás isso que tu dizes?","Araka'épa rejapóta upe re'éva?"
"Atiça o fogo para o que cozinhas","Epu'ã pe tata reñemohendáva"
"Trouxe a coragem","Che aporâ che py'aguapy"
"miolo, tutano de osso","Melo, tata'i ha'éva"
"Estou a ponto de ir Vou daqui a pouquinho","Aime hína aha'imínte"
"Estou assentado torto","Aiko vaiete"
"Ando perdido","Che apyta tapére"
"O que vê um homem furtar sem se importar","Mba'épa ohecha peteî kuimba'e omonda'ÿre"
"Estou derrubado","Che ñembyasýi"
"Eu já estou desvirginada","Che niko che virgináma"
"cordão de contas","Kuatiarogue ipyahúva"
"Que ouça, então, alguma coisa, para fazer estar bem sua alma","Upéicharõ, ehendu mba'eichapa, omboporã haguã ne ánga"
"Veio detrás de mim","Oguata che rapykuéri"
"Já saíste da grande escuridão","Reho va'ekue pytũmby guasu guive"
"Finquei-me, fiz pé firme","Añemomýi, aike mbarete"
"Tenhamos as coisas boas, apartando-as do que é torpe","Jahupyty umi mba'e porã, jaipuru'ỹre umi mba'e vai"
"Mas não foste tu, porventura, que te atraíste pelas mulheres?","Péro, ¿ndépa nde reñeñandu porã umi kuñanguéra rehe?"
"Eu sou maior que tu","Che tuichave ndehegui"
"Disse isso conhecendo o futuro esmagamento dos habitantes daquela cidade chamada Jerusalém","Ha'e he'i upéva oikuaágui Jerusalénpe ojejukataha."
"No seu próprio ombro levanta a cruz","Ipy'apýpe omopu'ã kurusúre"
"Portanto, nós rezamos aos santos?","Upéicharõ, ñañembo'e umi sántope?"
"Como tu és mau!","Mba'e vaipa nde!"
"Armei os laços","Aheja che rapykuéri"
"remédio portador de cura","mba'asy oporomonguerava"
"Fi-lo aos trancos, fi-lo confusamente","Ajapóva'ekue ñemboty, ajapóva'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue'ekue"
"Mas a ti, sobram-te galinhas e porcos","Nde rehe katu, nderepy'apýiva ka'avo ha porcín"
"logo então","Upérõ"
"Eu sou fedorento","Che apyrũ"
"Curou-o, somente tocando sua orelha, imediatamente fazendo-a sarar, grudando-a","Ha'e omonguera chupe, oipuruva'ekue ipotyre, ha upepete omonguera chupe, ombotyva'ekue chupe"
"por ali, por aí","Ko'ápe, ko'ápe"
"Eu estava-me, mesmo, esquecendo e não querendo omiti-lo","Che añetehápe areko che mandu'a ha ndaipotái añemomandu'a"
"Que eu faça brilhar a face escura de Deus para minha alma","Che pypuku che ánga rehe Tupã rova pytũ"
"Ainda que estivessem presentes as coisas de alguém na prisão","Oĩramo jepe peteĩva mba'e oîva cárcelpe"
"Que não aconteça de alguma coisa te deixar ignorante","Ani oiko mba'eve ndereikuaaséiva"
"a que é alforriada","ha'éva ñembosarái"
"quando a ave bate asas","Oiméramo ka'aguy ojopy"
"Há de ser o substituto de meu pai","Oiméne che ru rógape."
"Vai para prová-los, para que pratiquem maus atos","Oho oheka haguã chupekuéra, ojapo haguã mba'e vai"
"Foste para revistar as cisternas de água doce de alguém, tomando seu conteúdo?","Reho va'ekue reñekuave'ẽ haguã avave y potĩgui, reñemohenda haguã umi mba'e oĩva upépe?"
"Que sejamos corajosos, sim","Ja'e ñande py'aguasuha, añete"
"Não! Estou bêbado","Che areko mbeguekatúpe"
"Consola-te muito, enfim, após tua saída da escuridão, da aflição de tua alma","Nde py'aguapy tuicha, ko'ágã, nde pytũmbýgui, nde py'a hasýva guive"
"Fui na direção do meio das águas","Ajuhu yguasu mbytépe"
"por meio da oração","ñembo'e rupive"
"Eu sou um homem vadio","Che niko peteĩ kuimba'e vai"
"Não te convém o riso, não te fica bem o riso","Nderepy'apýi nde pukavy, nde pukavy nderepy'apýi nde pukavy"
"A lua foi comida","jasy ho'u"
"o que te põe a nu","Mba'e omomombyryva'ekue ndehegui"
"Enfim, os moços escondem seus muito maus procedimentos","Ha'ekuéra omomýi ichugui."
"Como seus atos passados serão a causa de vós o derrubardes?","Mba'éicha piko umi mba'e ojapo va'ekue ymaite rupi, pejapo va'erã pejapo haguã pejepe'a haguã?"
"Vem no dia de nossa terra, para visitá-la","Oúta ñane retã ára, ohóva ohecha"
"o que eu ensinei","mba'épa che arombo'e"
"Ah, um homem pecador há de ter mais coisas boas que eu!","¡Ajépa peteĩ kuimba'e angaipa va'erã oguereko hetave mba'e porã chehegui!"
"Enxuguei-o","Aitypo'i chupe"
"convidando os homens todos","ohóva kuimba'e kuérape"
"o que tem corpo, o que é corpóreo","mba'e oguerekóva hete, mba'e oguerekóva hete"
"Que vá toda a minha doença para longe de minha alma","Che mba'asy opaite che ánga remimbi haguã"
"o que tem fama, o que é famoso","mba'e ojekuaáva, mba'e ojekuaáva"
"Aproxima-se minha ida","Che rape ohasáma"
"O vão entre minhas pernas","Oiméne che ruguy apytépe"
"folha tenra","kuarahy morotĩ"
"Mostrando-lhe uma certa árvore que estava no meio do seu jardim","Ha'e ohechauka chupe peteĩ yvyramáta oĩha ijyvotyty mbytépe."
"Não serão somente poucos anos, mas para sempre","Ndaha'éi sapy'ánte, katuete opa ára guarã"
"Usaste feitiço para que não viessem?","¿Reipuru vaʼekue peteĩ mágo ani hag̃ua ou?"
"Aprende acerca da palavra de Deus, em que crerá","Eikuaa Ñandejára Ñeʼẽ rehe, ha ejerovia hese"
"Todo seu sangue fazendo derramar","Opa nde ruguy oityva'ekue"
"de fora, do lado da rua","okápe, tape rembe'ýpe"
"os restos de nossos pecados","Ñane angaipa rembi'u"
"Mas quem entregou os índios como coisas vossas?","Péro mávapa ome'ẽ umi indio-pe pende mba'e ramo?"
"Daqui a pouquinho castigo-o","Ko'ágã mbovymi rire che aityta chupe"
"O cauim transbordante nas igaçabas, depois disso, os atrai, e, igualmente, as cuias das velhas","Ko'ã ka'avo omimbipáva umi ygarata ári, upéi oity chupekuéra, ha avei umi kure kure kure"
"Peneirei a farinha","A'e'ỹre ajapo'áta pe hovy"
"cerca feita de ramas","ñembosarái ñembosarái"
"A ti suspiramos, gemendo","Nde rehe roñembyasýne roñembyasývo"
"Estareis aflitos hoje","Pende py'a potĩta ko'ágã"
"neste vale, lugar de chorar","ko yvyra'ípe, tenda hasýva"
"Quem não reconheceria ter comido algo bom?","¿Mávapa ndojekuaái okaru hague mba'e porã?"
"Mas minha sujeira era muita","Che ñembyaiete ningo hetaiterei"
"Cheirei-o","Aimo'ãta chupe"
"Imediatamente ficaram gritando","Ha'ekuéra osapukái:"
"Arrependendo-se de seus pecados, deplorando-os","Ovy'a ha ombyasy hembiapo vaikue, ha ombyasy"
"Nossas casas estão estabelecidas uma junto da outra","Ñande róga oñemopu'ã ojoapytépe"
"Honrando-te mais que a todas as mulheres","Nde rehe che remomba'e guasuve opa kuña apytépe"
"morrendo eu","Che ñamano"
"Confessaste-te antes de nascer teu filho?","Reñemombe'u nde ra'y heñói mboyve?"
"Puni-o","Aipuru chupe"
"colar de ouro","Kuatiarogue ipyahúva"
"Afligiu-se por se ter frustrado sua ida","Oñeñandu vaieterei omboty haguére chupe oho"
"Fez vir outrora alguma coisa boa do céu para seus discípulos?","¿Orepara vaʼekue piko peteĩ mbaʼe porã yvágagui hemimboʼekuérape?"
"Eu, o diabão assado, o que tem nome Guaixará, o que é afamado por aí","Che, demonio ro'o, hérava Guaixará, ojekuaáva ko'ápe"
"Eu caí de sono","Añenoiterei"
"Após passar o seu parto, Santa Maria levou seu filho Jesus para o templo","Ohasávo imemby, Santa María ogueraha imemby Jesúspe templo-pe"
"Quem são os que rogam por nós a Deus?","¿Mávapa oñembo'e Tupã Ñandejárape ore rehehápe?"
"Por sua maldade, todos os homems destrói","Iñañáva reheve, opavave kuimba'e omombaretéva"
"Ah, bem feito para ele!","¡Ajépa iporã chupe g̃uarã!"
"Estragaste as coisas de teu próximo?","Reñembyaipa nde rapichápe?"
"Eis que ela é minha companheira","Ko'ápe ha'e che irũ"
"Separemos os que assim procederam","Jaheja'óta umi péicha ojapóva"
"Pronto, meu senhor, voei","Péva, che ruvicha, che apu'ã"
"o que tem pênis, macho","oguerekóva pene, kuimba'e"
"Permaneço seu guardião","Aiko nde guárdia"
"Cheguei","Che aguahẽ"
"Por acaso arrancaram sua roupa, fazendo-o estar nu?","¿Oñembotypa hikuái chupe ha ojapo chupe ikorasõ'ỹre?"
"Ao se aproximar o doente de sua agonia, que mande chamar o padre, o que põe o óleo bento","Oiméramo hasýva oñemboja agonia-gui, omondo pa'ipe, omoĩva aceite de bentón"
"Na verdade, três vezes negarás ser meu discípulo antes de o galo cantar duas vezes","Añetehápe, mbohapy jey reñemohatãta che disípulo pe kokó opurahéi mboyve mokõivévante"
"Ainda bem que morreu","Avy'aite omano haguére"
"Enfeitaste-te, pintando-te, tendo desejos carnais?","Reñembosako'i, reñembo'e, reñeha'ã vai?"
"Ah, quem me dera comer veneno para que eu morresse!","A, che areko che poison ho'u haguã che rekove."
"E a aproximação do parto de uma grávida não é causa de se ter medo também?","Ha'e ramo imembykuña imemby'i ohasávo ndojopy'apýi avei?"
"Não pode alguém casar-se com seu parente verdadeiro?","¿Ndépa ikatu peteĩ omenda iñangirũ tee rehe?"
"Segundo a vontade de Deus","Ñandejára rembipota he'iháicha"
"Aceitaste suas palavras ao dar ordens a ti para alguma coisa boa?","Reñeme'ẽvo ndéve mba'e porã, reñeme'ẽ chupe nde ñe'ẽ?"
"Eu tenho diarréia","Che py'a hasýva"
"Eu sou curvadinho","Che ha'e peteĩ kururu"
"Meus pés escorregaram","Che py'a ohasáva"
"Mandei um homem em busca de pindoba","Ahai peteî kuimba'e oheka hagua pindoba"
"Muito devagar ele o mata","Mbeguekatúpe omboguata chupe"
"Sob tuas mãos estamos, em ti apoiando-nos","Nde pópe niko roime, nde rehe roipytyvõ"
"Será que é um morcego?","¿Ikatúpa hína peteĩ mbói?"
"Quebra-se muitas vezes","Ojejapo heta jey"
"Estando de cor preta","Hovy'a'ỹva"
"menor ainda que eu","michĩve chehegui"
"É bonita esta igreja, tendo muitos adornos!","Iporãite ko tupao, heta mba'e porã oguerekóva."
"Vem, espantando o diabo, para não nos vencer","Oúta, ombotavy haguã aña, ani haguã ñande rovasa"
"se eu arrotar","Ajepy'apýramo"
"ao te trespassar o vento","Nde ypytũre reho jave"
"É discreta, falando aos homens","Oñe'ẽkuaáva kuimba'ekuérape"
"o que quer mal, o que detesta","Mba'épa vaipota, mba'épa ndaijojahái"
"Pus o sapato","Aike che sapatu"
"quebrador de pedras","Kuatiarogue ipyahúva"
"Viram somente muitas chamas, parecidas com nossas línguas","Ohecha hikuái hetaiterei tata, ojoguava ñane ñe'ẽnguérape"
"O que não foi morto","Mba'e ndojapóiva"
"Eles se tratam uns aos outros como semelhantes por causa de sua irmandade","Oiméne oñangarekova'erã ojupe ha'eha iñermanokuéra"
"mais para cá","hetave ko'ápe"
"miolos de cabeça","Tape'i"
"Abraçaste alguma mulher?","¿Reñembotuichapa peteĩ kuñáme?"
"ajuntamento de aldeias","Tavakuairetã ñembyaty"
"São Pedro puxou a espada, cortando sua orelha","San Pedro oity pe espáda, oity ijapúva"
"Fiquei-a beliscando","Aheja'o chupe"
"o assar do pão","pe pan ñembosako'i"
"Que estejamos perto de ti, espantando nossos inimigos","Roime haguã nde ypýpe, roñemondýi haguã ñane enemigokuérape"
"Tu foste chocarreira, estando deitada sobre teu próximo?","Nde reñembyasýi, reñotỹ nde rapichápe?"
"Vem para me adornar","Oúta omomba'eguasu haguã chéve"
"Ali assando-os e comendo-os","Upépe ro'o ha ro'o"
"Eu sou pontudo","Che añembo'e porã"
"Morreríamos certamente antes que contasse para as pessoas o que viu","Ha'e nunga rupi omano va'erãma ha'e omombe'u mboyve umi héntepe mba'épa ohecha."
"Olhaste também com desejo para a vagina de alguma?","¿Rehechami avei mba'eichagua mba'e vai ndehegui?"
"E os cristãos transgressores da palavra de Deus, que lhes sucede?","Ha umi kristiáno iñe'ẽrendúva, ¿mba'épa oiko hesekuéra?"
"Eu sou redondo","Che ha'e mbyja'i"
"refletindo sobre suas maldades","Oñeha'ãrõva hembiapo vai"
"Eu sou redondo","Che ha'e mbyja'i"
"As namoradas me amavam","Umi che irũnguéra ohayhu che rehe"
"Hei de cobrir-te","Ajerovia va'erã nde rehe"
"Querendo ser servo de Deus somente","Oipotáva Ñandejára rembiguái añónte"
"Haveria de morrer, na verdade, antes de se batizar","Ha'e omanova'erã, añetehápe, ojevautisa mboyve"
"Arrependeu-se, depois disso, de ter comido aquele fruto?","¿Oñembyasypa upe rire ho'u haguére pe yva?"
"Compadece-te de nós","Eiporiahuvereko orerehe"
"Ó! Isso não seria possível contar, ainda que o sol se pusesse!","¡Ajépa ndaikatumo'ãi oje'e upéva, kuarahy oike ramo jepe!"
"Em troca de sua criação, dei-lhe outra","Omyengoviavo chupe, ame'ẽ chupe ambue"
"Onde Deus está?","¿Moõpa oĩ Ñandejára?"
"Apesar de que sejas rainha, apesar de que sejam muitos os teus servos, eu, não obstante, pesco para ti","Nde reiméramo jepe reina, nde rembiguái hetavérõ jepe, che katu apytáta nde rehehápe."
"mau ar","mba'asy vai"
"Eis que estou à vista de Deus","Ko'ápe che niko Tupã Ñandejára renondépe"
"Já tinha dado Judas aos judeus o meio de reconhecer Nosso Senhor?","¿Oñeme'ẽpa va'ekue Judápe oikuaa haguã Ñandejára?"
"Aonde chegaram com Nosso Senhor, enfim?","¿Mbaʼe mbaʼépa ojapo hikuái Ñandejára ndive?"
"Não se cansam de pedir a Deus pelos que os resgataram","Ndopái hikuái ojerure Ñandejárape orrescatáva rehehápe"
"vasilha de sal","yva pytã"
"Eu não queria vir , irando os homens brancos","Ndaipotái aju , che pochy umi kuimba 'e morotĩ"
"Não sei","Ndaikuaái"
"Eu estou atolado","Che apytĩ"
"Qual é a causa de nossa alegria, então?","¿Mbaʼépa ñanepytyvõta javyʼa hag̃ua?"
"Não dormi, absolutamente, para procurá-los","Ndaikatuveiete aikuaa haguã chupekuéra"
"Acreditai um pouco mais nele","Ejeroviave hese"
"Como se eu fosse","Ha'ete ramo che"
"espinhas do rosto","Mba'e'okuaa"
"Espevitei-o","Ahecha chupe"
"Dar de comer aos famintos","Omokaru umi ho'úva"
"Outrora, passando por cima dela, eu fui causa de te fazer agir","Peteĩ árape, che apytégui, che che che pytyvõ va'ekue rejapóvo"
"Tenhamos, de fato, as coisas boas, apartando-as do que é mau","Jahupytýne añetehápe umi mba'e porã, jaheja'ỹre ivaíva"
"Por que ele vive tendo coisas boas mais que eu?","Mba'ére piko oikove umi mba'e porã chehegui?"
"No ventre de uma moça gerando-se como uma criança","Mitâkuña hyepýpe, ojejopýva mitãkuña'icha"
"A que ingere uma poção, querendo matar seu feto","Oiméva peteî poción, ojukase haguã imemby"
"boquitorto, homem da boca torta","mbarakaja, kuimba'e iñe'ẽpoty"
"Que venha para nos ajudar meu irmão mais moço","Oime haguã ñanepytyvõ haguã che ryvy michĩvéva"
"Será que é por isso que Deus transformou a costela de nosso pai primeiro no corpo de sua esposa?","¿Ajépa upévare Ñandejára omohenda ñande ru'i rete pehẽngue hembireko rete ryepýpe?"
"Curaste os doentes","Nde reiporavo umi hasýva"
"Estou como mensageiro","Che niko maranduhára"
"Lançaste algum menino que estava aconchegado a ti sobre ti por desejo sensual?","Reñemopu'ã peteĩ mitãkuimba'e oñangarekóva nde rehe nde rehe mba'epota vai rehe?"
"Acima de todas as pessoas embelezou-a","Opavave ári omomba'e guasu"
"Eu estou enlameado","Che py'a potĩ"
"Vinde, meus companheiros","Pehẽ, che irũnguéra"
"Que bom que meu próximo tenha coisas boas!","Mba'eporãite che rapicha oguerekóramo umi mba'e porã."
"Leva-o depressa","Eho pya'e chupe"
"mastro da embarcação","Mastéro de la embarcación"
"Enterro-o","Añotỹta chupe"
"estes que estão em Ibiapaba","ko'ãva Ibiapaba-pe"
"Eu sou antigo filho de Jetuú Criei-me dentro dela","Che hína Jetuú ra'y yma guare."
"Tu não me detestas","Nderechái che rehe"
"topo da escada","Yvateve'ỹva"
"Digo mal dele","Che añe'ẽ vai hese"
"Que venha, por teus pedidos, Deus para nos fazer felizes","Tojehu, nde poriahuvereko rehe, Tupã Ñandejára ñanembovy'a haguã"
"tear de redes","Tape'a ñembosarái"
"Derramando o seu sangue, ficaram a açoitá-lo","Ogueraha hikuái hembi'u, ha ojuka hikuái chupe."
"Que eu afaste o proceder antigo para que não esteja no mal","Che amoĩ haguã tape ymaite guive ani haguã che py'a vai"
"Este dia é feriado","Ko ára niko peteî ára oporomoirûva"
"A terra também, então, agitando-se, tremendo","Yvy avei, upéi, oñesũ, oñesũ,"
"cabo de espada","Tape espada rehegua"
"certo homem branco nobre","kuimba'e morotî porã"
"O dia em que esses fatos se consumaram os cristãos não estavam felizes","Ára ojehu jave ko'ã mba'e, umi kristiáno ndovy'ái"
"Empanturrei as pessoas","Ahepyme'ẽ umi héntepe"
"Eu tenho hérnia","Che reheguáva hernia"
"Que bom seria se Deus mandasse fazer os cadáveres falarem!","Mba'eporãitepa Ñandejára ombou va'erã umi omanóva oñe'ẽ haguã."
"seu próprio corpo incorrupto","hete hekopete"
"Assim, desta maneira, na verdade, a gente subirá para o céu, após lançar fora seu grande peso","Péicha, añetehápe, jajerure yvágape, jaity rire ñande py'a guasu."
"habitante de fronteira","oikóva frontera-pe"
"Dizendo palavras más acerca de coisas nojentas","He'íva ñe'ẽ vai mba'e vai rehe"
"lêndeas de piolho","ñemby ñemby"
"Sou inimigo das pessoas","Che niko yvypóra enemigo"
"Urdiste mentiras contra alguém, desonrando-o?","Reñembotavy va'ekue avavére, reñembotavy va'ekue ichupe?"
"Ainda hoje os malditos queimam","Ko'ágã peve umi maldición-kuéra ho'u"
"É muito doloroso não vir fulano ao meu chamado","Mba'asyetereípa nderehecha kuimba'e che ñe'ême"
"Fizeste sexo com uma mulher com alguém observando-o?","Reñemongeta va'ekue peteĩ kuñakarai ndive, peteĩ ohecháva rehe?"
"Ajudaste alguém num roubo?","Reipytyvõ va'ekue avavépe peteĩ ñemondahápe?"
"Se eu o mandasse","Che amondo ramo chupe"
"Reritiba, minha terra, aldeia muito boa","Reeritiba, che yvy, táva porãite"
"teu nome","nde réra"
"Por isso mesmo o homem que quer a virtude se esvazia de corpo, fazendo-o jejuar","Upévare, pe kuimba'e ohayhuetéva tekove porã, omopotĩ hete, omokyre'ỹ chupe okaru haguã."
"Suas próprias coisas, na verdade, a gente ama em seu coração","Umi mba'e imba'éva, añetehápe, jahayhu ñande py'apýpe"
"Firmei-o comigo","Ahai che rehe"
"A senhora desta aldeia compadece-se grandemente das pessoas","Kuñakarai ko táva pegua oiporiahuverekoiterei umi hénte rehe"
"Queimei carvão","Ahapy yvotyty"
"Que era, mesmo, aquilo?","Mba'eichapa añete upe?"
"E como a gente procede para amar seu próximo como ama a si mesmo?","Ha mba'éichapa jahayhu ñande rapichápe ñandejehe jahayhu háicha?"
"Escudo-me, defendo-me","Che apytĩ, che apytĩ"
"Fazendo as pessoas terem ódio umas das outras por causa de alguém","Ojapo rupi yvypóra kuéra ojo'ói ojuehe ambue rehehápe"
"É o modo de ser deles?","¿Mba'éicha piko oiko hikuái?"
"Açoito gente frequentemente","Ajerure heta tapicha"
"Apoio sua cabeça","Che apytĩ nde akãre"
"Para o monte chamado Calvário","Yvyty hérava Calvario"
"Não digas por aí, falsamente, a respeito de ninguém","Ani ere avavére mba'eve ivaíva"
"Nasceu para nós hoje","Heñói ñandéve ko árape"
"Irritam completamente as pessoas","Ovy'aite hikuái tapichápe"
"Ele dará para mim minha aflição","Ha'e ome'ẽta chéve che ñembyasy"
"buraco do chão","yvyguy"
"estátua","Ta'anga"
"de dia, todo o dia","Ára pukukue, ára pukukue"
"Cheguei","Che aguahẽ"
"Esbofeteei suas nádegas","Aipuru nde ryguasu"
"Hei de levar todos para meu fogo","Aheja va'erã opavave che tatápe"
"Desfiei-o","Añeha'ã va'ekue"
"muito longe","mombyryete"
"Que lancemos fora nossa maldade, não acreditando nos pajés, em danças e rodopios","Jaheja'o haguã ñande mba'e vai, ani haguã jajerovia umi palla, jeroky ha jeroky"
"Engolir-me-á hoje, como sempre","Ogueraha chehegui ko'ágã, tapiaite"
"E a mim é que faz vir hoje para vos empurrar, enxotando-vos desta sua terra","Ha che che che moĩmbaha ko'ágã omosẽ haguã pene ndive, omosẽ haguã pendehegui pende yvy."
"Finjo que o levo, faço que o levo","Ajapórõ amoĩ, amoĩ"
"Eu sou comilão","Che hína tembi'u'ỹ"
"Vem para arrancá-lo logo do interior dela","Oúta oipe'a haguã chupe ipy'águi"
"Convenci-o a ir","Che añembo'e chupe oho haguã"
"Ajuntai-vos todos com eles!","¡Peteĩve peñemoirũ hendivekuéra!"
"Disse elegantemente","He'i porãite"
"Eu tenho fala rápida","Che ñe'ẽ pya'e"
"Suas palavras ásperas não cessam","Iñe'ẽ vaiete ndopytái"
"Eu tenho bafio","Che areko mba'e porã"
"Depois que tu sonhaste com uma mulher deleitaste-te no teu sonho com ela?","Rehecháramo peteĩ kuña rehe, revy'a nde képe hendive?"
"Desfolhei-a","Aheja'o chupe"
"Inchei","Ahai"
"Que disse a mulher que guardava a porta a São Pedro?","Mba'épa he'i kuñakarai ojesarekóva San Pedro rokẽre?"
"Contigo sempre estou","Che ndive niko che akóinte"
"o que é feito de barro","mba'épa ojejapo yvyra'ígui"
"Entisnei o rosto dele","Ahechakuaa imandu'a"
"Dormiste muitas vezes com ódio?","Heta jey piko reñeno vai?"
"Eu tive vertigem","Che akãraku"
"Eis que sobre o capim ele está deitado","Ko'ápe, yvate gotyo, oñeno"
"filhote de cão","Kuimba'e"
"este desterro comum","ko ñembosaraipavẽ jepiveguáva"
"Eu estou-me homiziando, eu estou vivendo fugido","Añeñandu vai, aiko mombyry"
"os habitantes do céu","umi yvága pegua"
"o que anuncia as coisas, o pregador","omoherakuãva mba'e, omoherakuãva"
"Com eles alio-me","Ha'ekuéra ndive che añemoirũ"
"Arranca de minha casa a poeira dos pés","Ogueraha che rógagui yvyra che py'águi"
"Dizem que o homem fez assim antes","He'i hikuái kuimba'e ojapo hague péicha ymave"
"Mas meu fogo apagou-se","Ha che tata ojoko"
"Ficando a aumentar teu temor também","Nde kyhyje'ỹve avei"
"Tendo saudades do neném, vim de minha casa","Che retãgui ajepy'apy che membykuña rehe,"
"Fazem aplacar a Deus a si mesmos, ao eliminarem a dívida dos pecados de muitos anos","Haʼekuéra omombaʼeguasu Ñandejárape omboyke rupi umi pekádo ohasáva heta áñore"
"Bebem muito todos, os homens com as mulheres","Opavave ho'u heta, kuimba'e kuña ndive"
"Eva atraiu-se muito pelo belo fruto, colhendo-o","Eva ohayhueterei pe hi'a porã, ha ombyaty"
"Não foi algum discípulo seu atrás dele?","Ndaha'éi piko nde remimbo'e kuéra omoirũva chupe?"
"Na minha frente ele disse isso","Che renondépe he'i"
"Converti-me num pássaro","Aiko peteî guyra"
"Deus deixou de amá-los, n'Ele confiando fracamente","Ñandejára ndohayhuvéima chupekuéra, ojerovia'ỹre hese"
"Se o sol faz as pessoas terem muita sede, tanto mais estando no fogo as pessoas desejam beber","Kuarahy omomýiva'ekue umi héntepe, hetave oĩháme tata ári umi hénte oipotáva ho'u"
"Escarneceste de alguma pessoa?","Reñembohory avavépe?"
"Colares azuis não vistos","Umi collar azul ndojehechaiva'ekue"
"Vemos sempre as suas pegadas","Ha'ekuéra tapykuehoha"
"Eu tenho o sangue escorrido","Che ruguy osyry"
"Ali é o lugar aonde eu vou","Upepe ha'e pe che ahatahápe"
"prensa de espremer cana-de-açúcar","ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha ñemuha"
"Distribuo-os","Aipyso chupekuéra"
"Fiz que não o vi","Ahecha'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'ÿre'"
"Veio a aurora","Oî ko'âga"
"Sempre os malditos para nós dizem maldades, mui perversamente","Opaite ára umi maldición he'i ñandéve mba'e vai, ivaívaiterei"
"Ouve","Ehendu"
"licor de aipim","yva rykue"
"Hás de ir, pois, para teu fogo, para que estejas para sempre prostrado no lugar em que se faz sofrer","Upévare reho nde py'a guýpe, reñembo'yhápe."
"Eu tenho a boca aberta","Che juru niko opytáma"
"amamentando seu neném","omomemby haguã imemby"
"Fiz taipa de pilão","Ajapóma peteï taïpa"
"Benze a gente sua comida?","¿Oñemboja'o piko ñande tembi'u?"
"Não me detestam as prostitutas","Ndachepyʼapýi umi prostituída"
"Fá-lo sofrer o frio","Ojapóva chupe hasy"
"Fico-o mastigando","A'erehe che apyta"
"Estava longe tua lembrança das coisas, estando a devanear?","¿Oñemboykepa nde mandu'a umi mba'e rehe, okakuaa rupi?"
"Sou diferente","Che niko iñambue"
"Não se afligem os outros?","¿Ndépa ndopyta vai hapichápe?"
"Eu não me afasto deles","Che ndajehejaichéne ichugui kuéra"
"Irrita-o, empurra-o para seu fogo","Emoĩ chupe, emombo chupe ita ári"
